Date,Description,Amount
2024-01-15,SALARY DEPOSIT,3000.00
2024-01-16,GROCERY STORE PURCHASE,-85.50
2024-01-17,GAS STATION,-45.20
2024-01-18,NETFLIX SUBSCRIPTION,-15.99
2024-01-19,RESTAURANT DINNER,-67.80
2024-01-20,ELECTRIC BILL PAYMENT,-120.45
2024-01-21,COFFEE SHOP,-4.50
2024-01-22,AMAZON PURCHASE,-89.99
2024-01-23,UBER RIDE,-12.75
2024-01-24,PHONE BILL,-65.00
2024-01-25,INTEREST PAYMENT,2.34
2024-01-26,ATM WITHDRAWAL,-40.00
2024-01-27,STARBUCKS,-5.25
2024-01-28,ONLINE SHOPPING,-156.78
2024-01-29,INSURANCE PAYMENT,-89.99
2024-01-30,RENT PAYMENT,-1200.00

